STD_YM|GU_CD|DONG_CD|MCT_CAT_CD|DAY_CD|USE_CNT|USE_AMT
201601|65|101|34|07|169|97971297
201601|65|101|35|01|2253|60632771
201601|65|101|35|02|3524|263985171
201601|65|101|35|03|3509|311834720
201601|65|101|35|04|4299|488504946
201601|65|101|35|05|3351|246893372
201601|65|101|35|06|3591|202878165
201601|65|101|35|07|4560|215898225
201601|65|101|36|01|1061|122455912
201601|65|101|36|02|1300|269802195
201601|65|101|36|03|1514|491671760
201601|65|101|36|04|1558|189224038
201601|65|101|36|05|1602|219881872
201601|65|101|36|06|1824|233624541
201601|65|101|36|07|1845|194578522
201601|65|102|01|01|871|550846610
201601|65|102|01|02|460|37410794
201601|65|102|01|03|651|176931141
201601|65|102|01|04|609|197036455
201601|65|102|01|05|618|105092995
201601|65|102|01|06|778|202879123
201601|65|102|01|07|1115|374092883
201601|65|102|02|01|4|846509
201601|65|102|02|04|6|827469
201601|65|102|02|05|8|3608802
201601|65|102|02|06|4|2909317
201601|65|102|03|01|207|7445907
201601|65|102|03|02|155|6821900
201601|65|102|03|03|168|8655023
201601|65|102|03|04|267|19269752
201601|65|102|03|05|149|9565775
201601|65|102|03|06|266|14721102
201601|65|102|03|07|317|14487535
201601|65|102|04|01|4489|327320278
201601|65|102|04|02|3075|329185060
201601|65|102|04|03|3242|338237529
201601|65|102|04|04|3715|372603585
201601|65|102|04|05|3396|319552127
201601|65|102|04|06|4046|417694033
201601|65|102|04|07|5375|402223812
201601|65|102|05|01|731|52648838
201601|65|102|05|02|506|41778855
201601|65|102|05|03|738|94561033
201601|65|102|05|04|746|91253587
201601|65|102|05|05|808|94399011
201601|65|102|05|06|1141|107343578
201601|65|102|05|07|1173|119508538
201601|65|102|06|01|207|7755279
201601|65|102|06|02|214|8657838
201601|65|102|06|03|207|10572417
201601|65|102|06|04|202|11809307
201601|65|102|06|05|222|12486107
201601|65|102|06|06|190|5859200
201601|65|102|06|07|314|16640138
201601|65|102|07|01|47|54042911
201601|65|102|07|02|52|53328344
201601|65|102|07|03|53|36109754
201601|65|102|07|04|30|28368716
201601|65|102|07|05|57|75185777
201601|65|102|07|06|78|29606994
201601|65|102|07|07|132|91032400
201601|65|102|08|01|12187|590388293
201601|65|102|08|02|14770|757621934
201601|65|102|08|03|13718|718535687
201601|65|102|08|04|14450|744508645
201601|65|102|08|05|14747|741011259
201601|65|102|08|06|18749|982751589
201601|65|102|08|07|14653|712084060
201601|65|102|11|01|13294|149032544
201601|65|102|11|02|33459|387478885
201601|65|102|11|03|35127|448731567
201601|65|102|11|04|33356|432929125
201601|65|102|11|05|33353|362697152
201601|65|102|11|06|33138|744097049
201601|65|102|11|07|15623|190517873
201601|65|102|12|01|6|551646
201601|65|102|12|02|8|3729094
201601|65|102|12|03|44|14590328
201601|65|102|12|04|127|91393427
201601|65|102|12|05|61|24894340
201601|65|102|12|06|106|49634065
201601|65|102|12|07|32|4133957
201601|65|102|13|01|27526|1312261144
201601|65|102|13|02|28332|1062700018
201601|65|102|13|03|26812|881118270
201601|65|102|13|04|27631|1071358768
201601|65|102|13|05|26973|1075764161
201601|65|102|13|06|36468|1794441865
201601|65|102|13|07|42539|2300983022
201601|65|102|15|01|31898|194547324
201601|65|102|15|02|49678|273289563
201601|65|102|15|03|50275|291743488
201601|65|102|15|04|52732|293122126
201601|65|102|15|05|51999|295082411
201601|65|102|15|06|57459|334060955
201601|65|102|15|07|37632|229128909
201601|65|102|16|01|1763|424906298
201601|65|102|16|02|963|210472280
201601|65|102|16|03|875|189781221
201601|65|102|16|04|950|247763585
201601|65|102|16|05|996|212590011
201601|65|102|16|06|1504|337521602
201601|65|102|16|07|2141|440413888
201601|65|102|17|01|4|445531
201601|65|102|17|02|4|222766
201601|65|102|17|05|27|5661216
201601|65|102|17|06|4|868785
201601|65|102|17|07|18|2868407
201601|65|102|18|01|218|19307089
201601|65|102|18|02|285|57147749
201601|65|102|18|03|358|102511172
201601|65|102|18|04|368|92411492
201601|65|102|18|05|390|114503299
201601|65|102|18|06|381|81413943
201601|65|102|18|07|337|46483581
201601|65|102|19|01|161|35929288
201601|65|102|19|02|159|26987135
201601|65|102|19|03|171|16287520
201601|65|102|19|04|118|14584153
201601|65|102|19|05|136|14058168
201601|65|102|19|06|227|23842523
201601|65|102|19|07|311|48446274
201601|65|102|20|01|161|3933998
201601|65|102|20|02|456|26150481
201601|65|102|20|03|458|21421532
201601|65|102|20|04|473|38226209
201601|65|102|20|05|446|52346505
201601|65|102|20|06|495|100314214
201601|65|102|20|07|203|3831722
201601|65|102|21|01|101|28420484
201601|65|102|21|02|2773|226225106
201601|65|102|21|03|2650|271726624
201601|65|102|21|04|2805|419251761
